         445153 function calls (440351 primitive calls) in 3.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      317    1.347    0.004    1.347    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.114    0.114    0.114    0.114 {method 'connect' of '_socket.socket' objects}
     2686    0.113    0.000    0.543    0.000 /usr/lib/python3.10/html/parser.py:300(parse_starttag)
        1    0.105    0.105    0.105    0.105 {method 'do_handshake' of '_ssl._SSLSocket' objects}
63518/63498    0.092    0.000    0.111    0.000 {built-in method builtins.isinstance}
        2    0.079    0.039    0.928    0.464 /usr/lib/python3.10/html/parser.py:133(goahead)
        1    0.064    0.064    0.064    0.064 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
4104/1464    0.059    0.000    0.133    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2336(_matches)
    22119    0.056    0.000    0.056    0.000 {method 'match' of 're.Pattern' objects}
     5421    0.039    0.000    0.245    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2303(search)
     2539    0.035    0.000    0.188    0.000 /usr/lib/python3.10/html/parser.py:385(parse_endtag)
    10715    0.032    0.000    0.046    0.000 /usr/lib/python3.10/_markupbase.py:44(updatepos)
     2571    0.032    0.000    0.056    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     5614    0.031    0.000    0.133    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:586(endData)
     2687    0.031    0.000    0.104    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1199(__init__)
     2686    0.027    0.000    0.224    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:722(handle_starttag)
     2686    0.027    0.000    0.274    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
    19158    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
        1    0.026    0.026    0.028    0.028 {built-in method _socket.getaddrinfo}
     2703    0.025    0.000    0.180    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2240(search_tag)
     8089    0.023    0.000    0.023    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:156(setup)
    13450    0.022    0.000    0.022    0.000 {method 'group' of 're.Match' objects}
    15531    0.022    0.000    0.022    0.000 {method 'get' of 'dict' objects}
     2701    0.022    0.000    0.050    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:620(object_was_parsed)
7272/7271    0.021    0.000    0.032    0.000 {built-in method builtins.next}
     2685    0.021    0.000    0.045    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:688(_popToTag)
        3    0.020    0.007    0.292    0.097 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:792(_find_all)
    13929    0.020    0.000    0.020    0.000 {method 'lower' of 'str' objects}
    14038    0.019    0.000    0.019    0.000 {method 'end' of 're.Match' objects}
    12911    0.019    0.000    0.019    0.000 {built-in method builtins.hasattr}
     2687    0.018    0.000    0.025    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:572(pushTag)
     2701    0.017    0.000    0.034    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:943(__new__)
     8037    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
    10123    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
9663/8914    0.016    0.000    0.018    0.000 {built-in method builtins.len}
      275    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2686    0.014    0.000    0.031    0.000 /usr/lib/python3.10/html/parser.py:351(check_for_whole_start_tag)
     7948    0.014    0.000    0.014    0.000 {method 'count' of 'str' objects}
     1944    0.013    0.000    0.021    0.000 /usr/lib/python3.10/html/__init__.py:91(_replace_charref)
     2685    0.013    0.000    0.121    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:763(handle_endtag)
     8941    0.012    0.000    0.012    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1586(__bool__)
     2686    0.012    0.000    0.016    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:558(popTag)
     2687    0.012    0.000    0.132    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:160(handle_endtag)
     4191    0.012    0.000    0.018    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
     1430    0.010    0.000    0.012    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:648(_linkage_fixer)
     5829    0.010    0.000    0.036    0.000 /usr/lib/python3.10/html/__init__.py:122(unescape)
     3416    0.010    0.000    0.014    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2203(_normalize_search_value)
     2701    0.010    0.000    0.013    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:523(string_container)
     4888    0.009    0.000    0.010    0.000 {method 'join' of 'str' objects}
    190/4    0.009    0.000    0.219    0.055 {built-in method builtins.exec}
     2861    0.009    0.000    0.012    0.000 {built-in method __new__ of type object at 0x5c44e78de9a0}
     2600    0.008    0.000    0.020    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
     2686    0.008    0.000    0.012    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1371(is_empty_element)
     2721    0.008    0.000    0.012    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:773(handle_data)
      277    0.008    0.000    1.443    0.005 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_sync/http11.py:209(_receive_event)
     5446    0.008    0.000    0.008    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2062(descendants)
     5477    0.008    0.000    0.008    0.000 {method 'start' of 're.Match' objects}
      101    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
      594    0.007    0.000    0.048    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:426(next_event)
     4191    0.006    0.000    0.007    0.000 {built-in method _abc._abc_instancecheck}
     2176    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
     3847    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
      417    0.005    0.000    0.026    0.000 {method 'sub' of 're.Pattern' objects}
     3460    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
     2812    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
    62/20    0.005    0.000    0.017    0.001 /usr/lib/python3.10/sre_parse.py:494(_parse)
  298/297    0.005    0.000    0.036    0.000 {built-in method builtins.__build_class__}
  576/575    0.005    0.000    0.010    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_readers.py:157(__call__)
      594    0.005    0.000    0.023    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:398(_extract_next_receive_event)
     2687    0.005    0.000    0.005    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
      922    0.005    0.000    0.006    0.000 /usr/lib/python3.10/contextlib.py:102(__init__)
     2687    0.005    0.000    0.005    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:453(set_up_substitutions)
      317    0.005    0.000    1.367    0.004 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_backends/sync.py:124(read)
      160    0.005    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      911    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1233    0.004    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:935(_is_dunder)
     2686    0.004    0.000    0.004    0.000 /usr/lib/python3.10/_markupbase.py:36(getpos)
     1233    0.004    0.000    0.011    0.000 /usr/lib/python3.10/typing.py:986(__setattr__)
      911    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2664    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     2539    0.004    0.000    0.004    0.000 /usr/lib/python3.10/html/parser.py:126(clear_cdata_mode)
      922    0.004    0.000    0.009    0.000 /usr/lib/python3.10/contextlib.py:139(__exit__)
     2738    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
     2704    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
      922    0.004    0.000    0.008    0.000 /usr/lib/python3.10/contextlib.py:130(__enter__)
      922    0.004    0.000    0.010    0.000 /usr/lib/python3.10/contextlib.py:279(helper)
      433    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      280    0.003    0.000    0.013    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:260(_process_event)
      232    0.003    0.000    0.008    0.000 /usr/lib/python3.10/typing.py:146(_type_check)
     1830    0.003    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_exceptions.py:7(map_exceptions)
       24    0.003    0.000    0.032    0.001 /usr/lib/python3.10/dataclasses.py:881(_process_class)
