         445860 function calls (441040 primitive calls) in 3.276 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
63526/63506    0.093    0.000    0.112    0.000 {built-in method builtins.isinstance}
    22119    0.057    0.000    0.057    0.000 {method 'match' of 're.Pattern' objects}
    19158    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
    15539    0.023    0.000    0.023    0.000 {method 'get' of 'dict' objects}
    14038    0.020    0.000    0.020    0.000 {method 'end' of 're.Match' objects}
    13929    0.020    0.000    0.020    0.000 {method 'lower' of 'str' objects}
    13450    0.023    0.000    0.023    0.000 {method 'group' of 're.Match' objects}
    12911    0.019    0.000    0.019    0.000 {built-in method builtins.hasattr}
    10715    0.033    0.000    0.047    0.000 /usr/lib/python3.10/_markupbase.py:44(updatepos)
    10123    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
9716/8949    0.016    0.000    0.018    0.000 {built-in method builtins.len}
     8941    0.012    0.000    0.012    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1586(__bool__)
     8089    0.024    0.000    0.024    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:156(setup)
     8037    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
     7948    0.014    0.000    0.014    0.000 {method 'count' of 'str' objects}
7324/7323    0.022    0.000    0.033    0.000 {built-in method builtins.next}
     5829    0.010    0.000    0.037    0.000 /usr/lib/python3.10/html/__init__.py:122(unescape)
     5614    0.032    0.000    0.135    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:586(endData)
     5477    0.008    0.000    0.008    0.000 {method 'start' of 're.Match' objects}
     5446    0.008    0.000    0.008    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2062(descendants)
