         371992 function calls (369258 primitive calls) in 3.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      328    1.483    0.005    1.483    0.005 {method 'read' of '_ssl._SSLSocket' objects}
     2686    0.125    0.000    0.595    0.000 /usr/lib/python3.10/html/parser.py:300(parse_starttag)
        1    0.102    0.102    0.102    0.102 {method 'do_handshake' of '_ssl._SSLSocket' objects}
56415/56407    0.090    0.000    0.112    0.000 {built-in method builtins.isinstance}
        2    0.086    0.043    1.019    0.509 /usr/lib/python3.10/html/parser.py:133(goahead)
        1    0.073    0.073    0.073    0.073 {method 'connect' of '_socket.socket' objects}
4104/1464    0.067    0.000    0.148    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2336(_matches)
    22016    0.060    0.000    0.060    0.000 {method 'match' of 're.Pattern' objects}
     5421    0.044    0.000    0.277    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2303(search)
     2539    0.039    0.000    0.207    0.000 /usr/lib/python3.10/html/parser.py:385(parse_endtag)
    10715    0.035    0.000    0.051    0.000 /usr/lib/python3.10/_markupbase.py:44(updatepos)
     2571    0.035    0.000    0.060    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/__init__.py:295(_replace_cdata_list_attribute_values)
     5614    0.034    0.000    0.148    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:586(endData)
     2687    0.033    0.000    0.113    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:1199(__init__)
     2686    0.029    0.000    0.244    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:722(handle_starttag)
     2686    0.029    0.000    0.300    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
     2703    0.029    0.000    0.204    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:2240(search_tag)
    17343    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
     2701    0.026    0.000    0.057    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:620(object_was_parsed)
    13176    0.025    0.000    0.025    0.000 {method 'group' of 're.Match' objects}
     8089    0.025    0.000    0.025    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:156(setup)
        3    0.024    0.008    0.331    0.110 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/element.py:792(_find_all)
    14149    0.023    0.000    0.023    0.000 {method 'get' of 'dict' objects}
